iter	Passed	Remaining
0	1	128
1	3	147
2	4	148
3	5	132
4	6	132
5	8	132
6	10	141
7	12	142
8	14	146
9	16	144
10	17	142
11	19	139
12	21	141
13	23	141
14	24	141
15	26	137
16	27	136
17	29	134
18	31	132
19	32	129
20	34	129
21	35	127
22	37	125
23	39	125
24	41	123
25	43	122
26	44	121
27	46	119
28	47	116
29	48	114
30	50	111
31	51	109
32	53	107
33	54	105
34	55	103
35	56	101
36	58	99
37	59	97
38	61	95
39	62	93
40	64	92
41	64	89
42	65	86
43	66	85
44	68	83
45	69	81
46	70	79
47	71	77
48	73	76
49	74	74
50	75	72
51	76	71
52	78	69
53	79	67
54	80	65
55	81	63
56	82	62
57	83	60
58	84	59
59	85	57
60	87	55
61	88	54
62	89	52
63	90	51
64	91	49
65	92	47
66	94	46
67	95	44
68	96	43
69	97	41
70	98	40
71	99	38
72	100	37
73	101	35
74	102	34
75	104	32
76	105	31
77	106	30
78	107	28
79	108	27
80	109	25
81	110	24
82	112	22
83	113	21
84	114	20
85	115	18
86	116	17
87	117	16
88	119	14
89	120	13
90	121	12
91	122	10
92	123	9
93	125	7
94	126	6
95	127	5
96	128	3
97	130	2
98	131	1
99	133	0
